id_variable_me;id_modulo_equipamiento;codigo_variable_me;node_id_variable_me;tipo;permiso;descripcion
52;3;A1;"ns=3;s=ME_SPINNERS_A1";BOOL;R;Detector cilindro en avance
53;3;Base;"ns=3;s=ME_SPINNERS_Base";BOOL;R;Detector de Base
54;3;TransportePreparadoParaRecogerSpinner;"ns=3;s=ME_SPINNERS_TransportePreparadoParaRecogerSpinner";BOOL;R;Si el modulo de transporte tiene su cilindro en posicion neutra, para que el de spinners pueda empujarlo para extraer un spinner.
55;3;Aminus;"ns=3;s=ME_SPINNERS_Aminus";BOOL;R;Cilindro A Retroceso
56;3;Aplus;"ns=3;s=ME_SPINNERS_Aplus";BOOL;R;Cilndro A Avance
57;3;SpinnersPreparadoParaDispensar;"ns=3;s=ME_SPINNERS_SpinnersPreparadoParaDispensar";BOOL;R;Si el modulo de spinners tiene su cilindro en posicion neutra, para poder que el de transporte lo empuje e introduzca una base vacia.
58;3;SpinnersAcabadoDeExpulsarBase;"ns=3;s=ME_SPINNERS_SpinnersAcabadoDeExpulsarBase";BOOL;R;Si el modulo de spinners ha acabado de expulsar la base tras dispensar un spinner.
59;3;ErrorSensoresASimultaneos;"ns=3;s=ME_SPINNERS_ErrorSensoresASimultaneos";BOOL;R;A0 y A1 activos a la vez
60;3;ErrorA0NoActivo;"ns=3;s=ME_SPINNERS_ErrorA0NoActivo";BOOL;R;Se hace AMinus pero A0 no se activa despues de un tiempo
61;3;ErrorA1NoActivo;"ns=3;s=ME_SPINNERS_ErrorA1NoActivo";BOOL;R;Se hace APlus pero A0 no se activa despues de un tiempo
